year,provider_id,edge_out_builds,upgrade_builds,total_builds
2026,PROV_001,0,86,86
2026,PROV_002,0,79,79
2026,PROV_003,0,93,93
2026,PROV_004,0,79,79
2026,PROV_005,0,111,111
2026,PROV_006,0,64,64
2026,PROV_007,0,103,103
2026,PROV_008,0,92,92
2026,PROV_009,0,90,90
2026,PROV_010,0,55,55
2026,PROV_011,0,97,97
2026,PROV_012,0,66,66
2026,PROV_013,0,62,62
2026,PROV_014,0,58,58
2026,PROV_015,0,84,84
2027,PROV_001,0,29,29
2027,PROV_002,76,35,111
2027,PROV_003,54,49,103
2027,PROV_004,0,35,35
2027,PROV_005,46,36,82
2027,PROV_006,0,26,26
2027,PROV_007,121,22,143
2027,PROV_008,81,46,127
2027,PROV_009,47,39,86
2027,PROV_010,18,32,50
2027,PROV_011,165,24,189
2027,PROV_012,39,28,67
2027,PROV_013,40,27,67
2027,PROV_014,0,20,20
2027,PROV_015,54,30,84
2028,PROV_001,46,39,85
2028,PROV_002,54,30,84
2028,PROV_003,0,17,17
2028,PROV_004,104,33,137
2028,PROV_005,47,22,69
2028,PROV_006,93,15,108
2028,PROV_007,147,11,158
2028,PROV_008,30,11,41
2028,PROV_009,39,21,60
2028,PROV_010,50,15,65
2028,PROV_011,20,25,45
2028,PROV_012,45,22,67
2028,PROV_013,85,22,107
2028,PROV_014,2,23,25
2028,PROV_015,135,16,151
2029,PROV_001,127,25,152
2029,PROV_002,38,17,55
2029,PROV_003,90,11,101
2029,PROV_004,146,17,163
2029,PROV_005,0,22,22
2029,PROV_006,19,25,44
2029,PROV_007,97,28,125
2029,PROV_008,90,18,108
2029,PROV_009,86,29,115
2029,PROV_010,13,22,35
2029,PROV_011,122,9,131
2029,PROV_012,8,24,32
2029,PROV_013,23,16,39
2029,PROV_014,26,10,36
2029,PROV_015,50,11,61
2030,PROV_001,143,21,164
2030,PROV_002,171,12,183
2030,PROV_003,46,11,57
2030,PROV_004,114,21,135
2030,PROV_005,51,11,62
2030,PROV_006,46,15,61
2030,PROV_007,111,7,118
2030,PROV_008,79,14,93
2030,PROV_009,10,10,20
2030,PROV_010,9,2,11
2030,PROV_011,85,10,95
2030,PROV_012,2,10,12
2030,PROV_013,13,12,25
2030,PROV_014,108,17,125
2030,PROV_015,41,17,58
2031,PROV_001,144,22,166
2031,PROV_002,0,18,18
2031,PROV_003,0,14,14
2031,PROV_004,0,21,21
2031,PROV_005,152,34,186
2031,PROV_006,76,13,89
2031,PROV_007,65,14,79
2031,PROV_008,48,3,51
2031,PROV_009,52,9,61
2031,PROV_010,57,16,73
2031,PROV_011,23,20,43
2031,PROV_012,76,20,96
2031,PROV_013,80,18,98
2031,PROV_014,75,21,96
2031,PROV_015,107,21,128
2032,PROV_001,9,18,27
2032,PROV_002,48,18,66
2032,PROV_003,84,4,88
2032,PROV_004,0,25,25
2032,PROV_005,185,24,209
2032,PROV_006,64,11,75
2032,PROV_007,72,23,95
2032,PROV_008,183,17,200
2032,PROV_009,134,17,151
2032,PROV_010,28,18,46
2032,PROV_011,6,13,19
2032,PROV_012,11,22,33
2032,PROV_013,14,27,41
2032,PROV_014,0,10,10
2032,PROV_015,109,25,134
2033,PROV_001,113,16,129
2033,PROV_002,62,10,72
2033,PROV_003,74,23,97
2033,PROV_004,61,24,85
2033,PROV_005,72,23,95
2033,PROV_006,79,21,100
2033,PROV_007,66,16,82
2033,PROV_008,70,25,95
2033,PROV_009,48,12,60
2033,PROV_010,41,8,49
2033,PROV_011,73,13,86
2033,PROV_012,41,16,57
2033,PROV_013,56,25,81
2033,PROV_014,27,7,34
2033,PROV_015,77,20,97
2034,PROV_001,30,17,47
2034,PROV_002,145,4,149
2034,PROV_003,221,15,236
2034,PROV_004,37,4,41
2034,PROV_005,97,20,117
2034,PROV_006,51,24,75
2034,PROV_007,15,17,32
2034,PROV_008,63,15,78
2034,PROV_009,58,13,71
2034,PROV_010,23,7,30
2034,PROV_011,101,23,124
2034,PROV_012,31,4,35
2034,PROV_013,0,10,10
2034,PROV_014,103,20,123
2034,PROV_015,31,20,51
2035,PROV_001,100,7,107
2035,PROV_002,53,15,68
2035,PROV_003,73,13,86
2035,PROV_004,72,13,85
2035,PROV_005,59,27,86
2035,PROV_006,73,23,96
2035,PROV_007,29,15,44
2035,PROV_008,70,7,77
2035,PROV_009,129,27,156
2035,PROV_010,84,11,95
2035,PROV_011,91,17,108
2035,PROV_012,0,9,9
2035,PROV_013,124,17,141
2035,PROV_014,28,16,44
2035,PROV_015,0,17,17
